id,title,manifest,canvas,license
PR-FC-00171-00009-00003,天條書 (FC.171.9(3)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00009-00003,24,CC BY-NC 4.0 (PD work)
PR-FC-00171-00010-00003,頒行詔書 (FC.171.10(3)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00010-00003,24,CC BY-NC 4.0 (PD work)
PR-FC-00171-00011-00004,太平禮制 (FC.171.11(4)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00011-00004,24,CC BY-NC 4.0 (PD work)
PR-FC-00171-00013-00003,[真天命太平天國](MS) (FC.171.13(3)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00013-00003,24,CC BY-NC 4.0 (PD work)
PR-FC-00171-00008-00006,太平條規 (FC.171.8(6)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00008-00006,22,CC BY-NC 4.0 (PD work)
PR-FC-00171-00010-00004,太平禮制 (FC.171.10(4)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00010-00004,20,CC BY-NC 4.0 (PD work)
PR-FC-00171-00011-00003,天父上帝言題皇詔 (FC.171.11(3)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00011-00003,18,CC BY-NC 4.0 (PD work)
PR-FC-00171-00007-00007,天父天兄天王太平天国己未九年會試題 (FC.171.7(7)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00007-00007,16,CC BY-NC 4.0 (PD work)
PR-FC-00171-00010-00002,天父上帝言題皇詔 (FC.171.10(2)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00010-00002,16,CC BY-NC 4.0 (PD work)
PR-FC-00171-00011-00005,幼主詔書 (FC.171.11(5)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00011-00005,14,CC BY-NC 4.0 (PD work)
MS-CUL-00001-00155,"Chinese Oracle Bones (CUL.1,52,155)",https://cudl.lib.cam.ac.uk/iiif/MS-CUL-00001-00155,8,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00057,剑桥大学金璋甲骨收藏 (CUL57),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00057,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00064,剑桥大学金璋甲骨收藏 (CUL64),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00064,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00066,剑桥大学金璋甲骨收藏 (CUL66),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00066,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00078,剑桥大学金璋甲骨收藏 (CUL78),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00078,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00093,剑桥大学金璋甲骨收藏 (CUL93),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00093,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00095,剑桥大学金璋甲骨收藏 (CUL95),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00095,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00108,剑桥大学金璋甲骨收藏 (CUL108),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00108,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00125,剑桥大学金璋甲骨收藏 (CUL125),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00125,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00133,剑桥大学金璋甲骨收藏 (CUL133),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00133,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00134,剑桥大学金璋甲骨收藏 (CUL134),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00134,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00166,剑桥大学金璋甲骨收藏 (CUL166),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00166,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00193,剑桥大学金璋甲骨收藏 (CUL193),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00193,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00197,剑桥大学金璋甲骨收藏 (CUL197),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00197,6,CC BY-NC 4.0 (PD work)
