title,manifest,来源清单
"資治通鑑；資治通鑑考異 Reel 7 (卷第二百四十二至二百七十九) and Zi zhi tong jian; Zi zhi tong jian kao yi (Cases 10-11a, v. 91-105)",https://figgy.princeton.edu/concern/scanned_resources/e09eeba1-1326-446c-80f8-9bffcd3c9afc/manifest,清单_普林斯顿善本Treasures.csv
季漢書 = Jin Han shu Reel 2 (v. 8-14),https://figgy.princeton.edu/concern/scanned_resources/4dbbaf64-1234-42a0-9aff-afc8319f6367/manifest,清单_普林斯顿善本Treasures.csv
"陸壯元增節音註精議資治通鑑 Reel 3 (卷第五十二至七十七) and Lu zhuang yuan zeng jie yin zhu jing yi Zi zhi tong jian (Cases 5-6, v. 41-60)",https://figgy.princeton.edu/concern/scanned_resources/9146d154-a796-4ba9-9390-cdec8e10b463/manifest,清单_普林斯顿善本Treasures.csv
"陸壯元增節音註精議資治通鑑 Reel 5 (卷第一百二至一百二十) and Lu zhuang yuan zeng jie yin zhu jing yi Zi zhi tong jian (Cases 9-10, v. 81-100)",https://figgy.princeton.edu/concern/scanned_resources/87369021-601c-456a-8a2e-76efb0a322b6/manifest,清单_普林斯顿善本Treasures.csv
文選 Reel 1 (卷第一至六) and Wen xuan (Cases 1-2; v. 1-12),https://figgy.princeton.edu/concern/scanned_resources/a04b91cb-ddf5-4047-a207-059e5c33fd6d/manifest,清单_普林斯顿善本Treasures.csv
文選 Reel 2 (卷第七至十二) and Wen xuan (Cases 3-4; v. 13-24),https://figgy.princeton.edu/concern/scanned_resources/cf77dc2a-d6a9-43ac-a0d9-ed0a705d31c3/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 04 (卷之三十一至四十二) and Li dai Tong jian zuan yao (Case 3, v. 19-22; Case 4, v. 23-24)",https://figgy.princeton.edu/concern/scanned_resources/1bbe0fba-6414-4c2c-98db-27c8cc30ab98/manifest,清单_普林斯顿善本Treasures.csv
校訂虛齋舊續四書蒙引初藁 Reel 3 (卷之八下至十一) and Jiao ding Xuzhai jiu xu Si shu meng yin zhu gao v. 13-18,https://figgy.princeton.edu/concern/scanned_resources/ebf97ff2-015d-415a-8ac3-4fa25a9a797c/manifest,清单_普林斯顿善本Treasures.csv
"四書大全辯 Reel 3 (Cases 5-6), Si shu da quan bian v. 25-36, and 論語卷之十七至二十 = Lun yu v. 17-20；孟子 = Mengzi",https://figgy.princeton.edu/concern/scanned_resources/04dac652-d65a-4943-94b7-b299932c60dc/manifest,清单_普林斯顿善本Treasures.csv
四書考 Reel 1 (卷之一至十三) and Si shu kao v. 1-6,https://figgy.princeton.edu/concern/scanned_resources/58245a98-42df-4b35-bef0-a3eb13ab7266/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 10 (卷之八十四至九十二) and Li dai Tong jian zuan yao (Case 10, v. 55-60)",https://figgy.princeton.edu/concern/scanned_resources/3264b6ab-e914-4d35-ae95-2620af310b7a/manifest,清单_普林斯顿善本Treasures.csv
詩經世本古義 Reel 2 (卷之十下至十七上) and Shi jing shi ben gu yi v. 9-16,https://figgy.princeton.edu/concern/scanned_resources/83c6d64d-2f33-4b51-bb34-4ab7ac30f556/manifest,清单_普林斯顿善本Treasures.csv
"四書大全辯 Reel 2 (Cases 3-4), Si shu da quan bian v. 13-24, and 論語卷之一至十六 = Lun yu v. 1-16",https://figgy.princeton.edu/concern/scanned_resources/83825e46-73c1-4343-9a4a-5d380f5a66b1/manifest,清单_普林斯顿善本Treasures.csv
校訂虛齋舊續四書蒙引初藁 Reel 2 (卷之五下至八上) and Jiao ding Xuzhai jiu xu Si shu meng yin zhu gao v. 7-12,https://figgy.princeton.edu/concern/scanned_resources/b6bb4e01-3cae-4262-bab1-0ff4c961cbcf/manifest,清单_普林斯顿善本Treasures.csv
"春秋貫玉 Reel 2 (卷三下至四) and Chun qiu guan yu (Cases 3-4, v. 17-30)",https://figgy.princeton.edu/concern/scanned_resources/d3da7058-a86a-47d7-8cea-28d053ff6558/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 07 (卷之五十六至六十六) and Li dai Tong jian zuan yao (Case 5, v. 37-38; Case 6, v. 39-42)",https://figgy.princeton.edu/concern/scanned_resources/563a19b9-4797-44b4-be2b-9eedb6b51c7d/manifest,清单_普林斯顿善本Treasures.csv
詩經世本古義 Reel 4 (卷之十九下至二十八) and Shi jing shi ben gu yi v. 25-32,https://figgy.princeton.edu/concern/scanned_resources/2580127e-74c0-4abb-aa51-f6a2a309153c/manifest,清单_普林斯顿善本Treasures.csv
"春秋貫玉 Reel 1 (卷一至三上) and Chun qiu guan yu (Cases 1-2, v. 1-16)",https://figgy.princeton.edu/concern/scanned_resources/4f57d826-526e-4077-a95f-5126b1181c81/manifest,清单_普林斯顿善本Treasures.csv
詩經世本古義 Reel 1 (卷之一至十上) and Shi jing shi ben gu yi v. 1-8,https://figgy.princeton.edu/concern/scanned_resources/aebf6b6d-3ada-456b-ac04-70b833790d32/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 01 (卷之一至九) and Li dai Tong jian zuan yao (Case 1, v. 1-6)",https://figgy.princeton.edu/concern/scanned_resources/e5ed279f-d81a-4110-89ed-3e4d10965c81/manifest,清单_普林斯顿善本Treasures.csv
"四書說約 Reel 1 卷之一至十一, Si shu shuo yue Cases 1-2, v. 1-16, 大學；中庸；論語一至八, and Da xue; Zhong yong; Lun yu v. 1-8",https://figgy.princeton.edu/concern/scanned_resources/d4ecc80b-0e69-421f-8daf-270c473ee19c/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 02 (卷之十至十八) and Li dai Tong jian zuan yao (Case 2, v. 7-12)",https://figgy.princeton.edu/concern/scanned_resources/16ffa583-3eac-4bee-9075-395e2d9a5219/manifest,清单_普林斯顿善本Treasures.csv
"春秋集傳大全 Reel 2 (卷之十九至三十七) and Chun qiu ji zhuan da quan (Case 2, v. 11-20)",https://figgy.princeton.edu/concern/scanned_resources/211fb419-a9de-41ff-8426-37f900eb5275/manifest,清单_普林斯顿善本Treasures.csv
"四書說約 Reel 2 卷之十二至二十, Si shu shuo yue Cases 3-4, v. 17-32, 論語九至十；孟子, and Lun yu v. 9-10; Mengzi",https://figgy.princeton.edu/concern/scanned_resources/95f17b9e-4514-40cb-827d-c4b8b1426489/manifest,清单_普林斯顿善本Treasures.csv
"毛詩註疏 Reel 1 (卷第一至八之一) and Mao shi zhu shu Cases 1-2, v. 1-12",https://figgy.princeton.edu/concern/scanned_resources/1d9203a1-60be-4b23-83cf-894058d98715/manifest,清单_普林斯顿善本Treasures.csv
"毛詩註疏 Reel 3 (卷第十六之五至二十之死) and Mao shi zhu shu Cases 5-6, v. 25-36",https://figgy.princeton.edu/concern/scanned_resources/8fe6dabd-f812-4e0c-bfab-07a4e839d356/manifest,清单_普林斯顿善本Treasures.csv
周易傳義大全 Reel 2 (卷之十四至二十四) and Zhou yi chuan yi da quan v. 13-24,https://figgy.princeton.edu/concern/scanned_resources/0f2a4fbb-d8c5-4486-8687-acc553edb7bd/manifest,清单_普林斯顿善本Treasures.csv
校訂虛齋舊續四書蒙引初藁 Reel 4 (卷之十二至十五) and Jiao ding Xuzhai jiu xu Si shu meng yin zhu gao v. 19-24,https://figgy.princeton.edu/concern/scanned_resources/4aa6efaa-88b0-4775-b166-ad021eccff14/manifest,清单_普林斯顿善本Treasures.csv
"資治通鑑；資治通鑑考異 Reel 4 (卷第一百二十四至一百六十七) and Zi zhi tong jian; Zi zhi tong jian kao yi (Cases 5b-6, v. 46-60)",https://figgy.princeton.edu/concern/scanned_resources/b2d24ad5-962f-4b46-8e39-bc5e0b342a50/manifest,清单_普林斯顿善本Treasures.csv
資治通鑑節要續編 Reel 3 (卷之十六至二十四) and Zi zhi tong jian jie yao Xu bian v. 17-24,https://figgy.princeton.edu/concern/scanned_resources/0e5a9ca6-699c-4494-8911-4c544c72d9ce/manifest,清单_普林斯顿善本Treasures.csv
史記題評 Reel 1 (Front Matter; 卷一至十三) and Shi ji ti ping v. 1-10,https://figgy.princeton.edu/concern/scanned_resources/34873d3d-e8da-4272-93b9-c4716752f0ee/manifest,清单_普林斯顿善本Treasures.csv
"重訂五經疑問 Reel 3 (卷之二十五至三十六), Chong ding Wu jing yi wen (Cases 5-6, v. 21-28), 重訂禮記疑問, and Chong ding Li ji yi wen",https://figgy.princeton.edu/concern/scanned_resources/0e9e1dcf-44d8-4291-ae95-f6b19839bd9d/manifest,清单_普林斯顿善本Treasures.csv
資治通鑑節要續編 Reel 1 (卷之一至八) and Zi zhi tong jian jie yao Xu bian v. 1-8,https://figgy.princeton.edu/concern/scanned_resources/0bf295ab-d719-4d1f-9f80-6f62fca1d4cd/manifest,清单_普林斯顿善本Treasures.csv
資治通鑑節要續編 Reel 2 (卷之九至十五) and Zi zhi tong jian jie yao Xu bian v. 9-16,https://figgy.princeton.edu/concern/scanned_resources/7cc2dd68-deec-4f65-92d8-f6d18ec989f6/manifest,清单_普林斯顿善本Treasures.csv
資治通鑑節要續編 Reel 4 (卷之二十五至三十) and Zi zhi tong jian jie yao Xu bian v. 25-32,https://figgy.princeton.edu/concern/scanned_resources/aac6f834-d033-4213-9590-184951121957/manifest,清单_普林斯顿善本Treasures.csv
史記題評 Reel 5 (卷七十七至一百九) and Shi ji ti ping v. 41-50,https://figgy.princeton.edu/concern/scanned_resources/3c0a3c6f-6f81-430c-93cb-ebc82a8b2113/manifest,清单_普林斯顿善本Treasures.csv
春秋左傳註評測義 Reel 2 (卷之三十三至七十) and Chun qiu Zuo zhuan zhu ping ce yi (Cases 3-4 v. 17-32),https://figgy.princeton.edu/concern/scanned_resources/414a3571-c270-4f59-a183-3f2a873f5f2b/manifest,清单_普林斯顿善本Treasures.csv
"春秋左傳屬事 Reel 1 (卷之一至十) and Chun qiu Zuo zhuan shu shi (Cases 1-2, v. 1-10)",https://figgy.princeton.edu/concern/scanned_resources/1edd7dd0-d5da-466b-9221-1fb3e7c080fa/manifest,清单_普林斯顿善本Treasures.csv
春秋左傳註評測義 Reel 1 (卷之一至三十二) and Chun qiu Zuo zhuan zhu ping ce yi (Cases 1-2 v. 1-16),https://figgy.princeton.edu/concern/scanned_resources/0947d396-919a-4b48-8a8a-62cb404dda7c/manifest,清单_普林斯顿善本Treasures.csv
史記題評 Reel 6 (卷一百十至一百三十) and Shi ji ti ping v. 51-60,https://figgy.princeton.edu/concern/scanned_resources/8857e940-d2e9-475e-90ef-7a9a00669311/manifest,清单_普林斯顿善本Treasures.csv
史記題評 Reel 2 (卷十四至二十五) and Shi ji ti ping v. 11-20,https://figgy.princeton.edu/concern/scanned_resources/922507e7-096d-408c-be4d-8c816b08c153/manifest,清单_普林斯顿善本Treasures.csv
