id,title,manifest,cat,bu,jp_cross,卷数,subject,fmt
2012402557,"Ding mao ji : er juan, xu ji er juan, xu bu yi juan, ji wai yi shi yi juan",https://www.loc.gov/item/2012402557/manifest.json,guji,,0,7,,manuscript/mixed material
2012402575,Yishan wen ji : liu ji,https://www.loc.gov/item/2012402575/manifest.json,guji,,0,7,,book
2012402588,Shi lei yi ming : liu juan,https://www.loc.gov/item/2012402588/manifest.json,guji,子部,0,7,lei shu lei|zi bu,book
2012402596,Li chuang yi yu : liu juan,https://www.loc.gov/item/2012402596/manifest.json,guji,,0,7,,book
2012402605,Yu dong xuan fang lu : liu juan,https://www.loc.gov/item/2012402605/manifest.json,guji,,0,7,,book
2012402606,Tang Liu Tui ji : liu juan,https://www.loc.gov/item/2012402606/manifest.json,guji,集部,0,7,bie ji lei|ji bu,book
2012402617,Tao hua tan wen zheng : liu juan,https://www.loc.gov/item/2012402617/manifest.json,guji,,0,7,,book
2012402635,Yi Qi zhi : liu juan,https://www.loc.gov/item/2012402635/manifest.json,guji,,0,7,,book
2012402696,"Liu shu zong yao : wu juan, fu Zheng xiao zhuan zhi e yi zhuan",https://www.loc.gov/item/2012402696/manifest.json,guji,,0,7,,book
2012402700,Tang san ti shi : liu juan,https://www.loc.gov/item/2012402700/manifest.json,guji,集部,0,7,zong ji lei|ji bu,book
2012402733,Ci xie lu : si juan. Fu Yang Wenzhong gong zhuan : yi juan,https://www.loc.gov/item/2012402733/manifest.json,guji,,0,7,,book
2012402766,Xu zeng da sheng yao zhi : liu juan,https://www.loc.gov/item/2012402766/manifest.json,guji,子部,0,7,yi jia lei|zi bu,book
2012402774,Xin zhuan wu fu wan shou dan shu : liu juan,https://www.loc.gov/item/2012402774/manifest.json,guji,,0,7,,book
2012402798,Shang shu yue zhu : liu juan,https://www.loc.gov/item/2012402798/manifest.json,guji,经部,0,7,shu lei|shu jing|commentaries|jing bu,book
2012402816,Yi jing yuan zhi : liu juan,https://www.loc.gov/item/2012402816/manifest.json,guji,子部,0,7,yi jia lei|zi bu,book
2014514088,"Biao zhong hui lu : liu juan, juan shou yi juan",https://www.loc.gov/item/2014514088/manifest.json,guji,史部,0,7,zhuan ji lei|shi bu,book
2014514101,Jian hong zhai ji : liu juan,https://www.loc.gov/item/2014514101/manifest.json,guji,,0,7,,book
2014514121,Ji he yuan ben : liu juan,https://www.loc.gov/item/2014514121/manifest.json,guji,,0,7,,book
2014514140,Chijin yi gao : liu juan,https://www.loc.gov/item/2014514140/manifest.json,guji,,0,7,,book
2014514148,Si lun lu : liu juan,https://www.loc.gov/item/2014514148/manifest.json,guji,,0,7,,book
2014514161,Song Quan Shi Ji : liu juan,https://www.loc.gov/item/2014514161/manifest.json,guji,,0,7,,book
2014514164,Da xue yan yi bu zuan yao : liu juan,https://www.loc.gov/item/2014514164/manifest.json,guji,,0,7,"qiu, jun|da xue yan yi bu",book
2014514178,Wang shi xiao zong pu : liu juan,https://www.loc.gov/item/2014514178/manifest.json,guji,,0,7,wang family,book
2014514193,Ming yi za zhu : liu juan,https://www.loc.gov/item/2014514193/manifest.json,guji,,0,7,,book
2014514194,"Fu shi yan ke shen shi yao han : liu juan, juan shou yi juan",https://www.loc.gov/item/2014514194/manifest.json,guji,,0,7,,book
2014514200,San cai hui bian : liu juan,https://www.loc.gov/item/2014514200/manifest.json,guji,子部,0,7,zi bu|lei shu lei,book
2014514225,Xi zheng lu : liu juan,https://www.loc.gov/item/2014514225/manifest.json,guji,史部,0,7,shi bu|di li lei,book
2014514226,Bi chuan hua jing : liu juan,https://www.loc.gov/item/2014514226/manifest.json,guji,子部,0,7,zi bu|nong jia lei,book
2014514234,"Zuo Zhongyi gong ji : wu juan, fu lu yi juan",https://www.loc.gov/item/2014514234/manifest.json,guji,,0,7,,book
2014514240,"Hui yan mi zhi : liu juan, fu Qin chuan zhi shou yi juan",https://www.loc.gov/item/2014514240/manifest.json,guji,,0,7,,book
2014514253,Da Yuan hun yi tong zhi : Yanjing,https://www.loc.gov/item/2014514253/manifest.json,guji,,0,7,,manuscript/mixed material
2014514290,Nian'an Luo xian sheng wen yao : liu juan,https://www.loc.gov/item/2014514290/manifest.json,guji,,0,7,,book
2014514297,Chui xiu lu : bu fen juan,https://www.loc.gov/item/2014514297/manifest.json,guji,,0,7,,book
2014514308,Xin juan Shenfeng Zhang xian sheng tong kao pi miu ming li zheng zong da quan : liu juan,https://www.loc.gov/item/2014514308/manifest.json,guji,,0,7,,book
2014514332,"Qin pu xin sheng : liu juan, shou yi juan",https://www.loc.gov/item/2014514332/manifest.json,guji,,0,7,,book
2014514335,Qin pu xie sheng : liu juan,https://www.loc.gov/item/2014514335/manifest.json,guji,,0,7,,book
2014514338,"Ji gu yin pu : si juan, fu Yin zheng fu shuo yi juan",https://www.loc.gov/item/2014514338/manifest.json,guji,,0,7,early works to 1800|seals (numismatics)|china,book
2014514349,Li shi Fen shu : liu zhuan,https://www.loc.gov/item/2014514349/manifest.json,guji,,0,7,,book
2014514358,Cang qiu guan cao : liu juan,https://www.loc.gov/item/2014514358/manifest.json,guji,,0,7,,book
2014514361,Yu yang shi ji : liu juan,https://www.loc.gov/item/2014514361/manifest.json,guji,,0,7,,book
2014514422,Li Zhuowu hui juan zhu shi wan xing shi kao : liu juan,https://www.loc.gov/item/2014514422/manifest.json,guji,,0,7,"encyclopedias and dictionaries, chinese",book
2014514430,Dongping Zhou zhi : liu juan,https://www.loc.gov/item/2014514430/manifest.json,guji,,0,7,dongping xian (china)|東平縣 (china),book
2014514469,"Geng chen ji : wu juan, fu Tang ren shi lü shuo yi juan",https://www.loc.gov/item/2014514469/manifest.json,guji,集部,0,7,zong ji lei|ji bu,book
2014514472,Liu nan sui bi : liu juan,https://www.loc.gov/item/2014514472/manifest.json,guji,子部,0,7,zi jia lei|zi bu,book
2014514485,"Haisou shi ji : si juan, ji wai shi yi juan, fu lu yi juan",https://www.loc.gov/item/2014514485/manifest.json,guji,集部,0,7,ji bu|bie ji lei,book
2014514523,Jing ke Xu Chen er xian sheng ping xuan li dai ming wen ze : liu juan,https://www.loc.gov/item/2014514523/manifest.json,guji,集部,0,7,zong ji lei|ji bu,book
2014514548,Yang Zhonglie gong wen ji : liu juan,https://www.loc.gov/item/2014514548/manifest.json,guji,集部,0,7,ji bu|bie ji lei,book
2014514579,Nian er shi zuan lüe : liu juan,https://www.loc.gov/item/2014514579/manifest.json,guji,史部,0,7,shi chao lei|shi bu,book
