id,title,manifest,keyword
,斉墩果科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11162/manifest.json,本草
,蟲譜図説四,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01988/manifest.json,本草
,蟲譜図説五,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-02035/manifest.json,本草
,溲疏科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08724/manifest.json,本草
,松柏科　松譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-17148/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08037/manifest.json,本草
,斉墩果科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11165/manifest.json,本草
,棕櫚科　下,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-17370/manifest.json,本草
,棟科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04193/manifest.json,本草
,大戟科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13045/manifest.json,本草
,山茱萸科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09346/manifest.json,本草
,樟科　桂譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11891/manifest.json,本草
,石南科　躑躅譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-10418/manifest.json,本草
,紫金牛科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-10540/manifest.json,本草
,雑纂,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16460/manifest.json,本草
,橙橘科　文且譜二,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03682/manifest.json,本草
,大戟科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12967/manifest.json,本草
,虎耳草科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08416/manifest.json,本草
,狗骨科　秦皮譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11324/manifest.json,本草
,自ミ至テ,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01710/manifest.json,本草
,蟲譜図説六,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-02079/manifest.json,本草
,松柏科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-15137/manifest.json,本草
,瑞香科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12361/manifest.json,本草
,雑纂,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16178/manifest.json,本草
,松柏科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-15090/manifest.json,本草
,檀香科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12649/manifest.json,本草
,無患樹科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04970/manifest.json,本草
,石南科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09896/manifest.json,本草
,紫金牛科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-10574/manifest.json,本草
,薔薇科　杏譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-06825/manifest.json,本草
,橙橘科　文且譜三,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03856/manifest.json,本草
,自ミ至テ,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01701/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08036/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08120/manifest.json,本草
,胡頽子科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12414/manifest.json,本草
,溲疏科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08736/manifest.json,本草
,南勢魚譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-00857/manifest.json,本草
,雑纂,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16163/manifest.json,本草
,豆科　上,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-06373/manifest.json,本草
,無患樹科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04854/manifest.json,本草
,石南科　瓔ラク躑躅譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-10429/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08111/manifest.json,本草
,金縷梅科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08947/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07957/manifest.json,本草
,黄楊科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12722/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08285/manifest.json,本草
,薔薇科　薔薇譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07613/manifest.json,本草
