id,title,manifest,db,tw_title
arc_books-NIJL_100137194,題読曲切紙,https://www.dh-jac.net/db1/books/NIJL-100137194/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100384011,神代巻切紙,https://www.dh-jac.net/db1/books/NIJL-100384011/portal/manifest.json,arc_books,切紙
arc_books-bunko20_00240,[連歌提要切帋],https://www.dh-jac.net/db1/books/bunko20_00240/portal/manifest.json,arc_books,切紙
arc_books-bunko20_00241,切紙秘伝抄,https://www.dh-jac.net/db1/books/bunko20_00241/portal/manifest.json,arc_books,切紙
kyudai-R100000092_I000121381_00,切紙,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/4492318.json,kyudai,切紙
arc_books-NIJL_100335767,産前産後切紙,https://www.dh-jac.net/db1/books/NIJL-100335767/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100225260,切紙目并神代,https://www.dh-jac.net/db1/books/NIJL-100225260/portal/manifest.json,arc_books,切紙
arc_books-kyodai04_22te02,手丹遠波切紙,https://www.dh-jac.net/db1/books/kyodai04-22te02/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100426946,連歌伝授切紙,https://www.dh-jac.net/db1/books/NIJL-100426946/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100243957,御代官相傳切紙,https://www.dh-jac.net/db1/books/NIJL-100243957/portal/manifest.json,arc_books,切紙
keioobjecthub-11513,修験道之事,https://dcollections.lib.keio.ac.jp/sites/default/files/iiif/KOK/110X-515-1/manifest.json,keioobjecthub,切紙
arc_books-NIJL_100196782,伝授切紙控書,https://www.dh-jac.net/db1/books/NIJL-100196782/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100215910,挿花切紙口伝書,https://www.dh-jac.net/db1/books/NIJL-100215910/portal/manifest.json,arc_books,切紙
ishikawa-httpsR2dTxASQEndlsearch_ndl_go_jpAXObooksAXOR100000133_IorgnB104414303,序中秘伝切紙,https://www.library.pref.ishikawa.lg.jp/shosho/iiif/orgn_B104414303/manifest.json,ishikawa,切紙
arc_books-NIJL_100422190,古今傳受切紙口傳條々／超大極祕古今内傳受切紙口訣,https://www.dh-jac.net/db1/books/NIJL-100422190/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100320598,遠州流挿花切紙,https://www.dh-jac.net/db1/books/NIJL-100320598/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433787,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433787/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433783,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433783/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100168800,古今伝受切紙附録,https://www.dh-jac.net/db1/books/NIJL-100168800/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100178644,古今序中秘伝切紙・古今二字相伝・古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100178644/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100059240,五儀之口伝切紙,https://www.dh-jac.net/db1/books/NIJL-100059240/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100338152,直心影流切紙注解,https://www.dh-jac.net/db1/books/NIJL-100338152/portal/manifest.json,arc_books,切紙
arc_books-UCB_ms0600,執筆切紙大成,https://www.dh-jac.net/db1/books/UCB-ms0600/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433782,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433782/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433793,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433793/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433785,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433785/portal/manifest.json,arc_books,切紙
